candidate,route,fold,train_size,valid_size,mae,rmse,wape,r2,error_gt_10pct_rate
Ridge__direct,direct,0,148,33,362.82033031117305,451.22475725913773,0.09438464657340126,0.9288965922531125,0.45454545454545453
Ridge__direct,direct,1,181,33,336.6168821522324,485.80761941912044,0.09702593037716849,0.4883150430314588,0.3333333333333333
Ridge__direct,direct,2,214,34,214.51148609389534,255.75493102421717,0.06445580164117479,0.841876079524369,0.14705882352941177
Ridge__unit,unit,0,148,33,376.0752562935737,498.07573388442387,0.09783280369054105,0.9133646084334172,0.45454545454545453
Ridge__unit,unit,1,181,33,362.76427088570034,567.5879412786264,0.10456261333429627,0.3015419527361195,0.30303030303030304
Ridge__unit,unit,2,214,34,275.8681924200066,327.7798226689878,0.0828920903655024,0.7402748690588192,0.29411764705882354
ElasticNet__direct,direct,0,148,33,350.9690295797815,421.85932772963275,0.09130163071812067,0.9378501781617101,0.42424242424242425
ElasticNet__direct,direct,1,181,33,336.14903798110714,487.90790206590066,0.09689107969563186,0.48388116397795,0.3333333333333333
ElasticNet__direct,direct,2,214,34,214.59517561823915,255.29227498893061,0.06448094843158109,0.842447648690269,0.17647058823529413
ElasticNet__unit,unit,0,148,33,366.67398093371776,464.18707291733205,0.09538714125641504,0.9247527454681073,0.48484848484848486
ElasticNet__unit,unit,1,181,33,361.96924773030696,563.7785612225218,0.10433345708749653,0.310885926816154,0.30303030303030304
ElasticNet__unit,unit,2,214,34,278.3427157815949,330.3521128407685,0.0836356281119202,0.7361824276948017,0.29411764705882354
Huber__direct,direct,0,148,33,353.6063223975286,421.6377279212778,0.0919877001847907,0.9379154547619084,0.45454545454545453
Huber__direct,direct,1,181,33,370.2821532126242,613.3269822214288,0.10672955612864483,0.1844358116272925,0.30303030303030304
Huber__direct,direct,2,214,34,180.41194810442025,218.60213238035075,0.05420966938631154,0.8844796941577401,0.14705882352941177
Huber__unit,unit,0,148,33,378.1395557434048,452.28527694503873,0.0983698137688541,0.9285619688665544,0.45454545454545453
Huber__unit,unit,1,181,33,382.8306874433495,654.9292623632964,0.1103465262604496,0.07004315427728869,0.30303030303030304
Huber__unit,unit,2,214,34,202.87784820613592,240.243064652667,0.06096015919464187,0.860475247569752,0.20588235294117646
GAM__direct,direct,0,148,33,481.51153878656106,876.1131022384765,0.12526116265427095,0.7319443744215419,0.48484848484848486
GAM__direct,direct,1,181,33,370.3988027083889,505.8814334832844,0.10676317899919796,0.4451552432221868,0.36363636363636365
GAM__direct,direct,2,214,34,248.70218011326895,295.7737162915574,0.07472932420081158,0.7885202938638531,0.3235294117647059
GAM__unit,unit,0,148,33,545.5064425285525,998.0272620312799,0.14190889671869444,0.6521521008526882,0.5454545454545454
GAM__unit,unit,1,181,33,391.16312711915833,595.662937148098,0.11274825580736925,0.23073643617655448,0.30303030303030304
GAM__unit,unit,2,214,34,267.7377018760458,328.70562742852746,0.0804490636759311,0.7388056246175625,0.4117647058823529
GPR__direct,direct,0,148,33,388.6851927514896,577.8288565497471,0.10111317222687051,0.8833987976754599,0.48484848484848486
GPR__direct,direct,1,181,33,282.46310327142874,403.5272853163783,0.0814167287656664,0.6469633309557112,0.2727272727272727
GPR__direct,direct,2,214,34,215.10570073905347,277.4190575555499,0.06463434956883135,0.8139532336388702,0.2647058823529412
