candidate,route,mae_mean,rmse_mean,rmse_std,rmse_worst,wape_mean,r2_mean,error_gt_10pct_rate,selection_score,conformal_radius_90,selected_before_lock
OOFEnsemble,mixed_total,295.8504868299499,384.53935939229194,118.27282892759169,460.29725702897053,0.08283817914156055,0.774160886224192,0.31134878193701726,414.1075666241899,531.1713576468077,True
ElasticNet__direct,direct,300.5710810597093,388.353168261488,119.8728682055767,487.90790206590066,0.08422455294844454,0.754726330276643,0.31134878193701726,418.32138531288217,559.329032046405,False
Ridge__direct,direct,304.6495661857669,397.59576923415847,124.04882557633564,485.80761941912044,0.08528879286391484,0.7530292382696467,0.3116458704693999,428.6079756282424,561.3255540483559,False
Ridge+LGBMResidual__direct,direct,300.8135255587617,398.04736209644426,139.47501419595335,509.7700469655171,0.08415232017755721,0.7423042509284601,0.31134878193701726,432.91611564543257,598.7750516335152,False
GPR__direct,direct,295.4179989206573,419.59173314055846,150.84780971514087,577.8288565497471,0.08238808352045608,0.7814384540900138,0.34076054664289956,457.30368556934366,544.6171240984548,False
Huber+LGBMResidual__direct,direct,299.93069609691884,414.65342168109333,199.28124294684133,615.8979890223198,0.08392605091714843,0.6681466122740843,0.3116458704693999,464.47373241780366,595.471168138635,False
Huber__direct,direct,301.43347457152436,417.85561417435247,197.38960220541358,613.3269822214288,0.08430897523324903,0.668943653515647,0.3015448603683898,467.2030147257059,527.0140370905939,False
ElasticNet__unit,unit,335.6619814818732,452.7725823268741,117.13110025782896,563.7785612225218,0.09445207548527725,0.657273699993021,0.36066547831253715,482.0553573913313,598.3371374574151,False
Ridge+LGBMResidual__unit,unit,324.81652830431375,450.66922531810496,146.268280446294,577.9723156802593,0.09099878596822443,0.6632246939247005,0.3808674985145573,487.2362954296785,590.1016742205385,False
Ridge__unit,unit,338.23590653309356,464.48116594401273,123.3832633873039,567.5879412786264,0.0950958357967799,0.6517271434094519,0.35056446821152704,495.3269817908387,595.8457606648961,False
Huber__unit,unit,321.2826971309634,449.1525346536674,207.3608477958723,654.9292623632964,0.08989216640798187,0.6196934569045317,0.3211527035056447,500.99274660263546,585.7102667735203,False
Huber+LGBMResidual__unit,unit,338.02288326535194,463.80644646470705,195.59563965948692,670.7121847121747,0.09484822970847005,0.5884333733871655,0.37076648841354726,512.7053563795788,621.3265360981098,False
GPR__unit,unit,318.999760621303,494.14453678412536,170.01576368909446,668.2356670889427,0.08913844648504936,0.6905822410212478,0.37076648841354726,536.648477706399,576.5870053983289,False
GAM__direct,direct,366.870840536073,559.2560840044395,293.82833544265833,876.1131022384765,0.10225122195142683,0.6552066371691939,0.39067142008318484,632.7131678651041,649.0582756084848,False
GAM__unit,unit,401.4690905079189,640.7986088693018,336.93587562490035,998.0272620312799,0.11170207206733158,0.540564720548935,0.42008318478906714,725.0325777755269,668.3160264386831,False
CatBoost__direct,direct,517.0325848332794,808.0693188945592,435.0981174046711,1308.3952772493665,0.14507534805367123,0.31890020380212564,0.5181224004753416,916.8438482457269,908.7666731927272,False
LightGBM__direct,direct,508.5381106708625,850.3138900412115,457.5386863682246,1377.190138044962,0.14277566861118463,0.254316783039843,0.5300059417706476,964.6985616332677,928.1580898693985,False
CatBoost__unit,unit,538.3441770517264,954.7400172710239,404.5213215952777,1421.0679742696368,0.15094589485009624,-0.028959039371813617,0.4809863339275104,1055.8703476698433,872.2256539968641,False
LightGBM__unit,unit,583.7214260949182,969.8493668104638,415.7844269394338,1415.0704806105286,0.16424866963089743,-0.10423589119143002,0.6301247771836007,1073.7954735453222,998.3932688967761,False
