optimizer,seed,evaluations,best_objective,safe_candidate_rate,best__10#熔炼炉固体料重量比例,best__熔炼炉B当前批次等待时长_PLC,best__熔炼炉B当前批次炉门打开次数_PLC,best__熔炼炉B当前批次炉门打开时长_PLC,candidate
random_search,0,600,3308.0929648316637,0.27,37.254322153554206,0.6527730012232275,14.0,70.30528763917933,LightGBM__direct
genetic_algorithm,0,600,3288.0233406169823,0.76,36.30602192878821,0.6591988038735335,14.0,68.74350353698267,LightGBM__direct
bayesian_optimization,0,600,3287.741924267895,0.44166666666666665,36.349461727106245,0.653769622588944,14.0,69.97065845232315,LightGBM__direct
random_search,1,600,3288.7370714029776,0.315,36.32677320520954,0.6046244802079491,14.0,69.34871795952255,LightGBM__direct
genetic_algorithm,1,600,3287.5027321497873,0.76,36.36116464406196,0.649343016031954,14.0,69.57957085361093,LightGBM__direct
bayesian_optimization,1,600,3287.7274549868393,0.4666666666666667,36.247053502095866,0.6533145659686383,14.0,69.78664491198326,LightGBM__direct
random_search,2,600,3288.4702838538847,0.2783333333333333,36.295279613220075,0.6419241789265875,14.0,71.48883404514959,LightGBM__direct
genetic_algorithm,2,600,3287.5150638245136,0.7666666666666667,36.354681728599076,0.6515543541714223,14.0,69.46168117121942,LightGBM__direct
bayesian_optimization,2,600,3288.494121828319,0.41333333333333333,36.33815094083907,0.6394410972928596,14.0,71.45319597811323,LightGBM__direct
random_search,0,600,3460.0218855990474,0.27,36.47079466412805,0.6370968198090035,14.0,72.71967416934481,GPR__direct
genetic_algorithm,0,600,3454.5469854651797,0.7533333333333333,36.26676595678072,0.619047044700961,14.0,65.87814107488737,GPR__direct
bayesian_optimization,0,600,3451.176949869042,0.43333333333333335,36.23987640801138,0.604048559767103,14.0,67.09614216163436,GPR__direct
random_search,1,600,3451.8915853307913,0.315,36.31103576512865,0.5999496067543224,14.0,68.47588183207566,GPR__direct
genetic_algorithm,1,600,3453.196002780401,0.7433333333333333,36.23615716055936,0.644334504929375,14.0,72.40041761997789,GPR__direct
bayesian_optimization,1,600,3449.76423203003,0.4033333333333333,36.219422600611836,0.5961660799820817,14.0,67.02931309555562,GPR__direct
random_search,2,600,3454.893595696952,0.2783333333333333,36.295279613220075,0.6419241789265875,14.0,71.48883404514959,GPR__direct
genetic_algorithm,2,600,3449.098310123798,0.7483333333333333,36.2303128889162,0.6063373551942633,14.0,71.18647521479096,GPR__direct
bayesian_optimization,2,600,3450.568991298621,0.435,36.26298173200063,0.611463179555458,14.0,73.87491063581054,GPR__direct
random_search,0,600,3504.27843148615,0.2,36.79707674989333,0.6084436912509389,14.0,67.14517149583041,Ridge+LGBMResidual__direct
