candidate,split,train_size,valid_size,mae,rmse,wape,r2,error_gt_10pct_rate
Ridge__direct,0,198,50,354.54753596934046,408.466360011227,0.09314335021983887,0.839566534956514,0.42
Ridge__direct,1,198,50,397.2117718965764,666.54445536127,0.0973939724177696,0.8562067143260361,0.3
Ridge__direct,2,198,50,406.0759068448351,893.645505242438,0.10408962082749393,0.7384615708643651,0.28
Ridge__unit,0,198,50,420.134309681832,480.4983537307066,0.1103736824431044,0.7779932489941344,0.5
Ridge__unit,1,198,50,409.70922876851256,706.2676248422273,0.1004582747773546,0.8385570946009983,0.36
Ridge__unit,2,198,50,418.16318559474706,801.8985714746557,0.10718795845527965,0.789407044368437,0.38
ElasticNet__direct,0,198,50,354.44786809308164,407.96431241840344,0.09311716642510832,0.83996067138283,0.42
ElasticNet__direct,1,198,50,396.1349665342833,663.0006708794106,0.09712994612455646,0.8577316472869077,0.32
ElasticNet__direct,2,198,50,405.3155004044791,888.6005739441705,0.10389470550078461,0.7414061815558608,0.28
ElasticNet__unit,0,198,50,421.3254143769448,482.23464962316035,0.11068659811874734,0.776385893381863,0.48
ElasticNet__unit,1,198,50,413.8758327040739,729.0323756107639,0.10147990136923087,0.8279819588220259,0.36
ElasticNet__unit,2,198,50,420.6579225144541,806.9277454815294,0.10782743549801856,0.7867572584716711,0.4
Huber__direct,0,198,50,320.80619956029614,386.7438826158821,0.08427914783456328,0.8561766902304568,0.38
Huber__direct,1,198,50,364.9871013471196,636.4746841554495,0.08949267417658181,0.8688879415929556,0.24
Huber__direct,2,198,50,397.7780747118847,831.5817715940829,0.1019626337646071,0.7735278087486007,0.26
Huber__unit,0,198,50,346.1567870753563,420.60273674526775,0.09093901262459277,0.8298912859828887,0.38
Huber__unit,1,198,50,379.63422888189075,752.095872578747,0.09308406304280224,0.8169259547660735,0.26
Huber__unit,2,198,50,394.9444437552478,857.7255416902032,0.10123628786013537,0.759064027722328,0.28
GAM__direct,0,198,50,339.46319072221996,513.4126169925399,0.08918053477296743,0.7465364884897266,0.36
GAM__direct,1,198,50,528.9756652547428,1641.921340380992,0.12970169817853727,0.12746056909822223,0.3
GAM__direct,2,198,50,544.6981928511378,1662.529714377298,0.13962273408395207,0.09480156877648371,0.32
GAM__unit,0,198,50,363.87883825359347,472.8476783836878,0.09559478103938494,0.7850067152153202,0.42
GAM__unit,1,198,50,510.8674250953543,1604.2817473848554,0.12526166500883293,0.16700642435288982,0.34
GAM__unit,2,198,50,544.7147099153877,1613.7823065559696,0.1396269679105002,0.1471063924350513,0.34
GPR__direct,0,198,50,312.39942251211994,363.75711036918904,0.08207059947537768,0.8727653628778196,0.4
GPR__direct,1,198,50,488.72207788892075,1516.934782924781,0.11983175711686114,0.25524369829078686,0.26
GPR__direct,2,198,50,512.8176086375885,1669.7676438329936,0.13145076951621587,0.08690273353745959,0.22
GPR__unit,0,198,50,322.59363558759753,378.32031257169353,0.08474872599544742,0.8623736181139018,0.42
GPR__unit,1,198,50,495.3550034390404,1598.8311360077685,0.1214581111521229,0.1726570668304358,0.22
GPR__unit,2,198,50,538.730845359101,1692.2349952493362,0.13809312120290676,0.06216528586716763,0.32
CatBoost__direct,0,198,50,556.9142444803852,717.1169526744211,0.14630720355799962,0.5055044909244095,0.62
CatBoost__direct,1,198,50,665.2875516251927,1716.0287120310716,0.16312456487251445,0.04691975599711096,0.56
CatBoost__direct,2,198,50,589.4953409099077,1742.9357293781409,0.15110560730295394,0.005126859665485095,0.42
CatBoost__unit,0,198,50,551.1308818628032,776.6749840281087,0.1447878536398991,0.41995590841712627,0.54
CatBoost__unit,1,198,50,624.2649168253648,1685.1944029405893,0.15306605793773267,0.08086271587039207,0.46
CatBoost__unit,2,198,50,631.287937383705,1717.4814428332709,0.16181832245553315,0.03397344073996089,0.42
LightGBM__direct,0,198,50,450.75351739323327,607.120626605793,0.11841766892722896,0.6455684702857407,0.6
LightGBM__direct,1,198,50,476.33467358841693,1698.7735038268308,0.11679443899557153,0.06599043366298674,0.28
