candidate,route,fold,train_size,valid_size,mae,rmse,wape,r2,error_gt_10pct_rate
Ridge__direct,direct,0,186,47,294.6197518728811,355.9973140576397,0.08424835272801277,0.7198255680184684,0.3191489361702128
Ridge__direct,direct,1,186,47,290.1185598760291,404.89546224872777,0.08079444305797107,0.8214107649780036,0.2553191489361702
Ridge__direct,direct,2,186,47,332.16225035219975,474.59885825049946,0.0888024227655996,0.9031009956238953,0.3191489361702128
Ridge__direct,direct,3,187,46,257.48306674465385,332.5939112600917,0.06980471881614063,0.8091027874856351,0.2391304347826087
Ridge__direct,direct,4,187,46,338.84408282948425,433.6554563372869,0.09364346749938166,0.7425296973439193,0.41304347826086957
Ridge__unit,unit,0,186,47,341.59148553773775,405.65181389765803,0.0976802124756598,0.636217417153206,0.44680851063829785
Ridge__unit,unit,1,186,47,316.7765727402002,487.52016695494814,0.08821837106627665,0.7410865396313776,0.2978723404255319
Ridge__unit,unit,2,186,47,373.09565450066435,506.5702784587414,0.09974582604689614,0.8896060312030235,0.44680851063829785
Ridge__unit,unit,3,187,46,300.1662162309386,409.7620318088788,0.08137629626294866,0.7102426726091102,0.34782608695652173
Ridge__unit,unit,4,187,46,372.8325431667809,458.2963226894906,0.10303657023374851,0.7124388191638262,0.45652173913043476
ElasticNet__direct,direct,0,186,47,295.0303326449977,356.6373743495935,0.08436576085660132,0.7188171910884789,0.3191489361702128
ElasticNet__direct,direct,1,186,47,291.97857118307246,409.20146241948305,0.08131243328134152,0.8175920291597742,0.2553191489361702
ElasticNet__direct,direct,2,186,47,332.5583555201257,474.65055525561615,0.08890832010506097,0.90307988448522,0.3191489361702128
ElasticNet__direct,direct,3,187,46,260.58436398630664,338.0745996138446,0.0706454932587316,0.8027595054480304,0.2391304347826087
ElasticNet__direct,direct,4,187,46,337.68234988193586,433.01435780047353,0.09332240921024679,0.7432904018159865,0.41304347826086957
ElasticNet__unit,unit,0,186,47,343.071223150843,407.9694302259285,0.09810335266086907,0.6320487340767758,0.44680851063829785
ElasticNet__unit,unit,1,186,47,317.10775389008745,488.6242917476084,0.08831060093453422,0.7399124487556328,0.2978723404255319
ElasticNet__unit,unit,2,186,47,375.6359441014476,513.2866476634221,0.1004249636395534,0.8866593052516022,0.44680851063829785
