candidate,route,mae_mean,rmse_mean,rmse_std,rmse_worst,wape_mean,r2_mean,error_gt_10pct_rate,selection_score,conformal_radius_90,selected_before_test
Ridge__direct,direct,302.64554233504964,400.34820043084915,57.44748883944368,474.59885825049946,0.08345868097342116,0.7991939626899843,0.30915818686401486,414.71007264071005,630.1393408757926,True
ElasticNet__direct,direct,303.56679464328766,402.3156698878022,55.75746813823065,474.65055525561615,0.08371088334239644,0.7971078023994981,0.30915818686401486,416.25503692235986,631.3107708443797,False
OOFEnsemble,mixed_total,303.1860152110456,405.8547185685457,55.93267901965471,481.8874069547692,0.08358034301746652,0.795320179430943,0.313413506012951,419.83788832345937,635.3048156720489,False
Ridge+LGBMResidual__direct,direct,302.6640201515246,412.49341565592874,62.87211020236287,504.60217050603654,0.08334915610323845,0.7917323837632118,0.3129509713228492,428.21144320651945,649.4725073846495,False
Ridge__unit,unit,340.8924944352643,453.56012276194343,45.27491476444761,506.5702784587414,0.09401145521710595,0.7379182959521087,0.3991674375578168,464.87885145305535,670.5988217858201,False
Ridge+LGBMResidual__unit,unit,322.46222399332044,453.9625725887448,58.28855167275697,512.9324421010174,0.0889135336048386,0.7333012383259709,0.31285846438482884,468.53471050693406,643.8832787824628,False
GPR__direct,direct,295.0730965501903,434.10845311296964,138.44581907455375,674.7156920294691,0.08116707623440521,0.7885997539131147,0.2959296947271045,468.7199078816081,624.7679487906572,False
ElasticNet__unit,unit,342.79421299629865,458.58777203988166,43.3704798320778,513.2866476634221,0.09453059640665804,0.7318889983640953,0.3991674375578168,469.4303919979011,668.769827783839,False
Huber__direct,direct,306.5334765143854,453.12634670741375,78.32755664924552,533.8706485490212,0.0844248411208781,0.7426997623855318,0.28751156336725253,472.7082358697251,619.2888826445915,False
Huber+LGBMResidual__direct,direct,318.62943775315927,460.7710590850693,95.7990323212635,568.089596133821,0.08772437299407536,0.7348424393406672,0.33487511563367256,484.72081716538514,649.9429638918199,False
GPR__unit,unit,308.65033337731995,469.8958524869842,148.38832930307927,710.3897964714952,0.08491299308269941,0.7524784966406278,0.3131359851988899,506.992934812754,615.1470005178337,False
Huber__unit,unit,321.6410421959249,500.3381029123601,123.64728916601406,630.6203360094518,0.08851558622098768,0.6674244265155181,0.3088806660499538,531.2499252038637,634.0552299190593,False
Huber+LGBMResidual__unit,unit,353.4577348255634,532.3802384798544,117.72193082480192,675.1795733375076,0.09739670193364539,0.6132266693925589,0.38612395929694726,561.8107211860548,684.1580497861213,False
GAM__direct,direct,343.26393903453885,531.8818826991142,204.4288826117024,805.7406033651106,0.09447210896824715,0.6836370786645837,0.34283071230342277,582.9891033520397,678.3185453882276,False
GAM__unit,unit,351.5303858322284,555.8613536647189,211.3989607757657,874.8716182796588,0.09672480071110955,0.6613905810273978,0.3429232192414431,608.7110938586603,670.1309710397072,False
LightGBM__direct,direct,371.5640159814584,596.4472966307358,297.9880450809588,1121.3968749065307,0.10242116299284469,0.6154321345425939,0.38149861239592964,670.9443079009754,733.7129359240637,False
CatBoost__direct,direct,420.33529047479396,631.4092002778559,247.38633080241894,1033.7067201085417,0.11583738789503273,0.5671384396464247,0.4592044403330249,693.2557829784606,776.7718804444718,False
LightGBM__unit,unit,414.8066430430705,705.9278963456852,294.13775736346753,1207.663688029117,0.11416427318961475,0.46349555888172234,0.44616096207215544,779.4623356865521,780.853568426328,False
CatBoost__unit,unit,466.50527887187474,726.838491870187,285.93346080507683,1145.9719974440668,0.12841793150252834,0.4223087492364991,0.4679925994449584,798.3218570714562,854.0246721106452,False
