candidate,random_rmse_mean,random_rmse_std,random_mae_mean,random_selection_score,chronological_rmse_mean,chronological_rmse_std,chronological_mae_mean,chronological_selection_score,rmse_difference_random_minus_chronological
Ridge__direct,400.34820043084915,57.44748883944368,302.64554233504964,414.71007264071005,397.59576923415847,124.04882557633564,304.6495661857669,428.6079756282424,2.7524311966906794
ElasticNet__direct,402.3156698878022,55.75746813823065,303.56679464328766,416.25503692235986,388.353168261488,119.8728682055767,300.5710810597093,418.32138531288217,13.962501626314179
OOFEnsemble,405.8547185685457,55.93267901965471,303.1860152110456,419.83788832345937,384.53935939229194,118.27282892759169,295.8504868299499,414.1075666241899,21.315359176253764
Ridge+LGBMResidual__direct,412.49341565592874,62.87211020236287,302.6640201515246,428.21144320651945,398.04736209644426,139.47501419595335,300.8135255587617,432.91611564543257,14.446053559484483
Ridge__unit,453.56012276194343,45.27491476444761,340.8924944352643,464.87885145305535,464.48116594401273,123.3832633873039,338.23590653309356,495.3269817908387,-10.921043182069297
Ridge+LGBMResidual__unit,453.9625725887448,58.28855167275697,322.46222399332044,468.53471050693406,450.66922531810496,146.268280446294,324.81652830431375,487.2362954296785,3.293347270639856
GPR__direct,434.10845311296964,138.44581907455375,295.0730965501903,468.7199078816081,419.59173314055846,150.84780971514087,295.4179989206573,457.30368556934366,14.516719972411181
ElasticNet__unit,458.58777203988166,43.3704798320778,342.79421299629865,469.4303919979011,452.7725823268741,117.13110025782896,335.6619814818732,482.0553573913313,5.815189713007555
Huber__direct,453.12634670741375,78.32755664924552,306.5334765143854,472.7082358697251,417.85561417435247,197.38960220541358,301.43347457152436,467.2030147257059,35.27073253306128
Huber+LGBMResidual__direct,460.7710590850693,95.7990323212635,318.62943775315927,484.72081716538514,414.65342168109333,199.28124294684133,299.93069609691884,464.47373241780366,46.11763740397595
GPR__unit,469.8958524869842,148.38832930307927,308.65033337731995,506.992934812754,494.14453678412536,170.01576368909446,318.999760621303,536.648477706399,-24.248684297141153
Huber__unit,500.3381029123601,123.64728916601406,321.6410421959249,531.2499252038637,449.1525346536674,207.3608477958723,321.2826971309634,500.99274660263546,51.18556825869274
Huber+LGBMResidual__unit,532.3802384798544,117.72193082480192,353.4577348255634,561.8107211860548,463.80644646470705,195.59563965948692,338.02288326535194,512.7053563795788,68.57379201514732
GAM__direct,531.8818826991142,204.4288826117024,343.26393903453885,582.9891033520397,559.2560840044395,293.82833544265833,366.870840536073,632.7131678651041,-27.3742013053253
GAM__unit,555.8613536647189,211.3989607757657,351.5303858322284,608.7110938586603,640.7986088693018,336.93587562490035,401.4690905079189,725.0325777755269,-84.93725520458293
LightGBM__direct,596.4472966307358,297.9880450809588,371.5640159814584,670.9443079009754,850.3138900412115,457.5386863682246,508.5381106708625,964.6985616332677,-253.86659341047573
CatBoost__direct,631.4092002778559,247.38633080241894,420.33529047479396,693.2557829784606,808.0693188945592,435.0981174046711,517.0325848332794,916.8438482457269,-176.66011861670324
LightGBM__unit,705.9278963456852,294.13775736346753,414.8066430430705,779.4623356865521,969.8493668104638,415.7844269394338,583.7214260949182,1073.7954735453222,-263.9214704647786
CatBoost__unit,726.838491870187,285.93346080507683,466.50527887187474,798.3218570714562,954.7400172710239,404.5213215952777,538.3441770517264,1055.8703476698433,-227.90152540083693
