candidate,route,mae,rmse,wape,r2,error_gt_10pct_rate,rmse_bootstrap_low95,rmse_bootstrap_high95,interval_coverage_90,interval_mean_width,native_model_std_mean,selected_before_lock
GPR__unit,unit,287.81241130562563,366.3042758516248,0.08681307433201489,0.7905368236848906,0.36363636363636365,288.53798522621014,439.89979452226976,0.8863636363636364,1153.1740107966582,319.01816682726957,False
GPR__direct,direct,286.16747041003146,366.88726958985694,0.08631690957110975,0.7898695483881643,0.36363636363636365,297.75236386323843,438.64770402223695,0.8636363636363636,1089.23424819691,322.3758687421457,False
Huber+LGBMResidual__direct,direct,301.86796839447146,394.28007868240246,0.09105266259993057,0.7573203400994599,0.36363636363636365,307.76462714510285,469.86162146900136,0.8409090909090909,1190.9423362772702,,False
Huber__direct,direct,316.79770602089667,397.01456487019567,0.09555593060161524,0.7539425110332121,0.36363636363636365,317.32888633766254,472.29364714614735,0.7954545454545454,1054.0280741811875,,False
OOFEnsemble,mixed_total,313.6401028058786,398.3036818932337,0.09460350036633507,0.7523420061689783,0.4090909090909091,321.90281467537335,466.22995602155385,0.7727272727272727,1062.3427152936151,,True
Ridge+LGBMResidual__unit,unit,322.63548171506676,405.83212577484693,0.09731678327983229,0.7428914291157098,0.4090909090909091,318.02365201772767,492.2527696858422,0.8409090909090909,1180.203348441077,,False
Ridge+LGBMResidual__direct,direct,311.95958697077924,410.74704110545355,0.09409660510964063,0.7366261843133697,0.4090909090909091,324.92527009217986,486.8757194894027,0.7954545454545454,1197.5501032670304,,False
ElasticNet__direct,direct,328.83021467766577,414.95582021614297,0.09918530524769845,0.7312011357354093,0.4090909090909091,328.4351208736473,493.3494594924617,0.8181818181818182,1118.6580640928098,,False
Ridge__direct,direct,328.98628082359704,415.1701446493808,0.09923237959680654,0.7309233951218849,0.4090909090909091,328.71564102852955,493.4610685704299,0.8181818181818182,1122.6511080967118,,False
Huber__unit,unit,342.32779856047927,421.0456305242774,0.10325659163734967,0.7232535631212307,0.4318181818181818,346.493748293317,497.7102694699612,0.8181818181818182,1171.4205335470406,,False
Huber+LGBMResidual__unit,unit,332.0242416556523,430.1758754547945,0.10014872201002828,0.7111211071423591,0.38636363636363635,330.0450923701935,515.827893628967,0.8181818181818182,1242.6530721962197,,False
ElasticNet__unit,unit,362.7502493312373,448.6176122950791,0.10941663084052727,0.685821582633269,0.4318181818181818,361.85821916494973,535.8956845974348,0.7954545454545454,1196.6742749148304,,False
Ridge__unit,unit,363.3605574013313,449.3156364828381,0.10960071852324445,0.6848431335437563,0.45454545454545453,362.20376504914486,537.3112616577026,0.7954545454545454,1191.6915213297923,,False
GAM__unit,unit,344.006953079816,449.9012767351601,0.10376307627934561,0.6840210440566306,0.36363636363636365,340.4004076282395,571.74690249144,0.8409090909090909,1336.6320528773663,,False
GAM__direct,direct,337.9825003906841,476.3337884203151,0.1019459160785788,0.6458016885051145,0.36363636363636365,329.67672664476595,648.9623414534117,0.8409090909090909,1298.1165512169696,,False
LightGBM__direct,direct,400.71209505312777,522.1206964195206,0.12086709094919647,0.5744353694651714,0.5,418.73705772456753,637.7636815733593,0.9090909090909091,1856.3161797387975,,False
LightGBM__unit,unit,409.197786187469,548.5667743444359,0.12342663635539448,0.5302327809610843,0.45454545454545453,418.5003983752744,708.8887715524763,0.9090909090909091,1996.7865377935523,,False
CatBoost__direct,direct,513.1683512842111,596.0616346078825,0.15478735619071954,0.4453665639738531,0.6818181818181818,522.8052426152329,673.7417194329212,0.8863636363636364,1817.5333463854543,,False
CatBoost__unit,unit,549.1153679424813,635.0626464960584,0.16563008189185258,0.37041141348936824,0.75,546.909377262081,715.9841002788663,0.8409090909090909,1744.451307993728,,False
