model,fold,train_size,test_size,train_end,test_start,mae,rmse,r2
LightGBM,0,52,48,51,52,418.1157189765484,513.0733436128454,0.5670334603527716
LightGBM,1,100,48,99,100,695.5930501278461,1842.7541343519956,-0.013344715669485474
LightGBM,2,148,48,147,148,635.8242650483518,1210.6626801809612,0.34069822549598283
LightGBM,3,196,48,195,196,479.5083340799629,769.1124581671041,-0.4341652747399214
LightGBM,4,244,48,243,244,401.63765515232427,520.4624696746455,0.552166251851953
Linear,0,52,48,51,52,308.8977868939706,390.3215583923029,0.7494234016389592
Linear,1,100,48,99,100,468.5717723088087,951.1738255867583,0.7300134058593739
Linear,2,148,48,147,148,338.00282659037936,421.0645459358923,0.9202491566518554
Linear,3,196,48,195,196,282.23280067177296,417.5605999702672,0.5772744125750686
Linear,4,244,48,243,244,333.268690609516,415.16144121939567,0.7150478069167828
Huber,0,52,48,51,52,288.09308737726434,366.4454013340421,0.7791415687707933
Huber,1,100,48,99,100,478.84683892696194,934.9652953931999,0.739136449996321
Huber,2,148,48,147,148,369.60425325337457,471.7070916577399,0.8999118307541133
Huber,3,196,48,195,196,290.2841044658897,452.7994022332752,0.5029143795889653
Huber,4,244,48,243,244,315.02362669484404,392.9347736855733,0.7447422652711129
