optimizer,seed,best_objective,feasible_rate,unique_candidates,model,total_weight
random_search,0,2820.482636627162,1.0,5000,Linear,69727.3
genetic_algorithm,0,2794.1949971924996,1.0,2058,Linear,69727.3
random_search,1,2810.2116402962292,1.0,5000,Linear,69727.3
genetic_algorithm,1,2794.1949971924996,1.0,2176,Linear,69727.3
random_search,2,2820.044937198512,1.0,5000,Linear,69727.3
genetic_algorithm,2,2794.1949971924996,1.0,2105,Linear,69727.3
random_search,3,2829.902583922358,1.0,5000,Linear,69727.3
genetic_algorithm,3,2794.1949971924996,1.0,2319,Linear,69727.3
random_search,4,2819.2427138959015,1.0,5000,Linear,69727.3
genetic_algorithm,4,2794.1949971924996,1.0,2192,Linear,69727.3
random_search,5,2823.7969825532236,1.0,5000,Linear,69727.3
genetic_algorithm,5,2794.1949971924996,1.0,2633,Linear,69727.3
random_search,6,2831.0317559001305,1.0,5000,Linear,69727.3
genetic_algorithm,6,2794.1949971924996,1.0,1991,Linear,69727.3
random_search,7,2843.6613201807045,1.0,5000,Linear,69727.3
genetic_algorithm,7,2794.1949971924996,1.0,1942,Linear,69727.3
random_search,8,2827.4266935320607,1.0,5000,Linear,69727.3
genetic_algorithm,8,2794.1949971924996,1.0,2773,Linear,69727.3
random_search,9,2830.006308903265,1.0,5000,Linear,69727.3
genetic_algorithm,9,2794.1949971924996,1.0,1930,Linear,69727.3
random_search,0,2942.974090765627,1.0,5000,Linear,75272.75
genetic_algorithm,0,2922.1981541112377,1.0,3165,Linear,75272.75
random_search,1,2937.7295338300796,1.0,5000,Linear,75272.75
genetic_algorithm,1,2922.1981451995666,1.0,3876,Linear,75272.75
random_search,2,2949.350405498619,1.0,5000,Linear,75272.75
genetic_algorithm,2,2922.1981451995666,1.0,3802,Linear,75272.75
random_search,3,2962.6093161274766,1.0,5000,Linear,75272.75
genetic_algorithm,3,2922.1981451995666,1.0,3836,Linear,75272.75
random_search,4,2942.5977857304247,1.0,5000,Linear,75272.75
genetic_algorithm,4,2922.1981451995666,1.0,3834,Linear,75272.75
random_search,5,2944.4101774955243,1.0,5000,Linear,75272.75
genetic_algorithm,5,2922.1981451999713,1.0,3927,Linear,75272.75
random_search,6,2951.9255053260226,1.0,5000,Linear,75272.75
genetic_algorithm,6,2922.1981451995666,1.0,3808,Linear,75272.75
random_search,7,2965.894378183398,1.0,5000,Linear,75272.75
genetic_algorithm,7,2922.1981451995666,1.0,3837,Linear,75272.75
random_search,8,2954.192014582102,1.0,5000,Linear,75272.75
genetic_algorithm,8,2922.1981451995666,1.0,3834,Linear,75272.75
random_search,9,2951.242404619395,1.0,5000,Linear,75272.75
genetic_algorithm,9,2922.1981451995666,1.0,3832,Linear,75272.75
random_search,0,3077.481106199085,1.0,5000,Linear,81720.0
genetic_algorithm,0,3055.04291779311,1.0,1901,Linear,81720.0
random_search,1,3077.9365754097093,1.0,5000,Linear,81720.0
genetic_algorithm,1,3055.04291779311,1.0,2122,Linear,81720.0
random_search,2,3091.4087337235987,1.0,5000,Linear,81720.0
genetic_algorithm,2,3055.04291779311,1.0,2083,Linear,81720.0
random_search,3,3097.204064251943,1.0,5000,Linear,81720.0
genetic_algorithm,3,3055.04291779311,1.0,2149,Linear,81720.0
random_search,4,3072.0945772989844,1.0,5000,Linear,81720.0
genetic_algorithm,4,3055.04291779311,1.0,2442,Linear,81720.0
random_search,5,3084.339488729709,1.0,5000,Linear,81720.0
genetic_algorithm,5,3055.04291779311,1.0,2600,Linear,81720.0
random_search,6,3080.0290661354397,1.0,5000,Linear,81720.0
genetic_algorithm,6,3055.04291779311,1.0,2333,Linear,81720.0
random_search,7,3106.334405144305,1.0,5000,Linear,81720.0
genetic_algorithm,7,3055.04291779311,1.0,2327,Linear,81720.0
random_search,8,3078.028618775297,1.0,5000,Linear,81720.0
genetic_algorithm,8,3055.04291779311,1.0,2139,Linear,81720.0
random_search,9,3093.8941021333217,1.0,5000,Linear,81720.0
genetic_algorithm,9,3055.04291779311,1.0,2183,Linear,81720.0
random_search,0,3228.8373351184996,1.0,5000,Linear,87779.75
genetic_algorithm,0,3206.467017643649,1.0,1914,Linear,87779.75
random_search,1,3226.6838455896864,1.0,5000,Linear,87779.75
genetic_algorithm,1,3206.467017643649,1.0,1904,Linear,87779.75
random_search,2,3234.664636522991,1.0,5000,Linear,87779.75
genetic_algorithm,2,3206.467017643649,1.0,1929,Linear,87779.75
random_search,3,3249.8830061507188,1.0,5000,Linear,87779.75
genetic_algorithm,3,3206.467017643649,1.0,2275,Linear,87779.75
random_search,4,3223.652494954992,1.0,5000,Linear,87779.75
genetic_algorithm,4,3206.467017643649,1.0,2211,Linear,87779.75
random_search,5,3231.040038982945,1.0,5000,Linear,87779.75
genetic_algorithm,5,3206.467017643649,1.0,2483,Linear,87779.75
random_search,6,3232.4332239721375,1.0,5000,Linear,87779.75
genetic_algorithm,6,3206.467017643649,1.0,1999,Linear,87779.75
random_search,7,3252.0684907956097,1.0,5000,Linear,87779.75
genetic_algorithm,7,3206.467017643649,1.0,2290,Linear,87779.75
random_search,8,3231.480887532773,1.0,5000,Linear,87779.75
genetic_algorithm,8,3206.467017643649,1.0,2079,Linear,87779.75
random_search,9,3239.9435323596103,1.0,5000,Linear,87779.75
genetic_algorithm,9,3206.467017643649,1.0,2500,Linear,87779.75
random_search,0,3160.911303180194,1.0,5000,Linear,92210.5
genetic_algorithm,0,3132.0756262232044,1.0,1962,Linear,92210.5
random_search,1,3153.79946208871,1.0,5000,Linear,92210.5
genetic_algorithm,1,3132.0756262232044,1.0,1898,Linear,92210.5
random_search,2,3172.170391613205,1.0,5000,Linear,92210.5
genetic_algorithm,2,3132.0756262232044,1.0,2096,Linear,92210.5
random_search,3,3167.2389471032957,1.0,5000,Linear,92210.5
genetic_algorithm,3,3132.0756262232044,1.0,2197,Linear,92210.5
random_search,4,3157.3007292111115,1.0,5000,Linear,92210.5
genetic_algorithm,4,3132.0756262232044,1.0,2146,Linear,92210.5
random_search,5,3171.7371225417146,1.0,5000,Linear,92210.5
genetic_algorithm,5,3132.0756262232044,1.0,2515,Linear,92210.5
random_search,6,3170.319219208958,1.0,5000,Linear,92210.5
genetic_algorithm,6,3132.0756262232044,1.0,1738,Linear,92210.5
random_search,7,3175.8672150634234,1.0,5000,Linear,92210.5
genetic_algorithm,7,3132.0756262232044,1.0,2352,Linear,92210.5
random_search,8,3164.8471608504306,1.0,5000,Linear,92210.5
genetic_algorithm,8,3132.0756262232044,1.0,2135,Linear,92210.5
random_search,9,3177.5693421531114,1.0,5000,Linear,92210.5
genetic_algorithm,9,3132.0756262232044,1.0,2319,Linear,92210.5
random_search,0,2642.19073470464,1.0,5000,Huber,69727.3
genetic_algorithm,0,2602.708668838291,1.0,2199,Huber,69727.3
random_search,1,2623.2958699117125,1.0,5000,Huber,69727.3
genetic_algorithm,1,2602.708668838291,1.0,2284,Huber,69727.3
random_search,2,2636.08238800175,1.0,5000,Huber,69727.3
genetic_algorithm,2,2602.708668838291,1.0,2104,Huber,69727.3
random_search,3,2646.755173835949,1.0,5000,Huber,69727.3
genetic_algorithm,3,2602.708668838291,1.0,2108,Huber,69727.3
random_search,4,2641.9120205364356,1.0,5000,Huber,69727.3
genetic_algorithm,4,2602.708668838291,1.0,2160,Huber,69727.3
random_search,5,2669.232988410157,1.0,5000,Huber,69727.3
genetic_algorithm,5,2602.708668838291,1.0,2103,Huber,69727.3
random_search,6,2672.612287080217,1.0,5000,Huber,69727.3
genetic_algorithm,6,2602.708668838291,1.0,2655,Huber,69727.3
random_search,7,2667.6218839933235,1.0,5000,Huber,69727.3
genetic_algorithm,7,2602.708668838291,1.0,1937,Huber,69727.3
random_search,8,2656.4969827675504,1.0,5000,Huber,69727.3
genetic_algorithm,8,2602.708668838291,1.0,2563,Huber,69727.3
random_search,9,2671.304086567356,1.0,5000,Huber,69727.3
genetic_algorithm,9,2602.708668838291,1.0,1936,Huber,69727.3
random_search,0,2801.335388517027,1.0,5000,Huber,75272.75
genetic_algorithm,0,2771.3963012628183,1.0,1977,Huber,75272.75
random_search,1,2792.6390887954663,1.0,5000,Huber,75272.75
genetic_algorithm,1,2771.3963012628183,1.0,2034,Huber,75272.75
random_search,2,2794.8897820703514,1.0,5000,Huber,75272.75
genetic_algorithm,2,2771.3963012628183,1.0,1866,Huber,75272.75
random_search,3,2822.766004379431,1.0,5000,Huber,75272.75
genetic_algorithm,3,2771.3963012628183,1.0,2411,Huber,75272.75
random_search,4,2798.3570056107405,1.0,5000,Huber,75272.75
genetic_algorithm,4,2771.3963012628183,1.0,2207,Huber,75272.75
random_search,5,2814.5117557055337,1.0,5000,Huber,75272.75
genetic_algorithm,5,2771.3963012628183,1.0,2260,Huber,75272.75
random_search,6,2818.1831741944916,1.0,5000,Huber,75272.75
genetic_algorithm,6,2771.3963012628183,1.0,1875,Huber,75272.75
random_search,7,2831.4186652120143,1.0,5000,Huber,75272.75
genetic_algorithm,7,2771.3963012628183,1.0,2321,Huber,75272.75
random_search,8,2814.9775021763644,1.0,5000,Huber,75272.75
genetic_algorithm,8,2771.3963012628183,1.0,2418,Huber,75272.75
random_search,9,2818.0018164916387,1.0,5000,Huber,75272.75
genetic_algorithm,9,2771.3963012628183,1.0,2158,Huber,75272.75
random_search,0,2950.6342776242154,1.0,5000,Huber,81720.0
genetic_algorithm,0,2914.257652708888,1.0,1945,Huber,81720.0
random_search,1,2936.902999598584,1.0,5000,Huber,81720.0
genetic_algorithm,1,2914.257652708888,1.0,2054,Huber,81720.0
random_search,2,2941.2025480515736,1.0,5000,Huber,81720.0
genetic_algorithm,2,2914.257652708888,1.0,2031,Huber,81720.0
random_search,3,2966.182688844729,1.0,5000,Huber,81720.0
genetic_algorithm,3,2914.257652708888,1.0,2234,Huber,81720.0
random_search,4,2941.2853546224815,1.0,5000,Huber,81720.0
genetic_algorithm,4,2914.257652708888,1.0,2495,Huber,81720.0
random_search,5,2971.4188014768033,1.0,5000,Huber,81720.0
genetic_algorithm,5,2914.257652708888,1.0,1959,Huber,81720.0
random_search,6,2972.4099474452664,1.0,5000,Huber,81720.0
